orig,dest,total_trips,completed_trips,free_travel_time,average_travel_time,stddiv_travel_time,shortest_distance,average_distance_traveled_per_veh,stddiv_distance_traveled_per_veh
359104407,8214234926,15,15,98.73214285714286,126.66666666666667,10.274023338281628,1287.0,1287.0,0.0
30247432,30238029,25,0,0.0,0.0,0.0,0.0,0.0,0.0
442540240,30247166,5,5,67.92857142857143,105.0,0.0,657.0,657.0,0.0
10896077231,1311773884,15,15,105.01785714285714,173.33333333333334,6.236095644623235,1177.0,1177.0,0.0
4823547657,8193762124,15,0,0.0,0.0,0.0,0.0,0.0,0.0
30237614,cluster_301572460_301572949_71643543,25,25,60.535714285714285,72.0,7.483314773547883,730.0,735.0,0.0
12884439746,8224714481,20,0,0.0,0.0,0.0,0.0,0.0,0.0
30247432,12884439746,20,0,0.0,0.0,0.0,0.0,0.0,0.0
30247166,cluster_301572306_301572951_71643537,25,25,86.85714285714286,120.0,29.664793948382652,738.0,839.0,188.53222536213804
9042478734,30237638,25,0,0.0,0.0,0.0,0.0,0.0,0.0
30237635,5260292356,5,5,4.857142857142857,15.0,0.0,68.0,68.0,0.0
1311619488,2989836095,25,0,0.0,0.0,0.0,0.0,0.0,0.0
4173395797,12884439749,45,0,0.0,0.0,0.0,0.0,0.0,0.0
30237614,2989836095,20,0,0.0,0.0,0.0,0.0,0.0,0.0
8655000700,8097436674,5,0,0.0,0.0,0.0,0.0,0.0,0.0
30237696,8097436674,20,20,20.642857142857142,27.5,2.5,289.0,289.0,0.0
442540300,12884439746,5,0,0.0,0.0,0.0,0.0,0.0,0.0
8193762124,1311619368,30,0,0.0,0.0,0.0,0.0,0.0,0.0
5260292356,30237640,10,10,79.08928571428572,97.5,2.5,931.0,931.0,0.0
30237614,3236553576,20,0,0.0,0.0,0.0,0.0,0.0,0.0
2989836087,5761245141,55,55,66.97619047619048,124.0909090909091,38.424553100741925,719.0,742.0,67.04679505593631
30247432,8193762124,15,15,46.07142857142857,50.0,0.0,644.0,645.0,0.0
442540240,4823547657,10,10,92.375,117.5,7.5,739.0,739.0,0.0
30237634,6762205322,25,25,89.07142857142857,153.0,28.39013913315678,1221.0,1235.0,0.0
8224714481,8235449359,15,0,0.0,0.0,0.0,0.0,0.0,0.0
4222882539,cluster_301572944_71643547_9803583623,55,55,114.78571428571429,194.54545454545453,34.473609501560986,1190.0,1231.6363636363637,61.74474247367541
11861295890,8210106342,5,0,0.0,0.0,0.0,0.0,0.0,0.0
1311770053,5260292356,15,15,98.01785714285714,131.66666666666666,4.714045207910316,1079.0,1079.0,0.0
30247166,30237772,10,10,24.5,35.0,0.0,343.0,343.0,0.0
12944467681,9042478734,85,0,0.0,0.0,0.0,0.0,0.0,0.0
1812294093,3236553576,20,0,0.0,0.0,0.0,0.0,0.0,0.0
4897232219,3213093362,20,0,0.0,0.0,0.0,0.0,0.0,0.0
cluster_301572460_301572949_71643543,30237772,5,5,58.05357142857143,70.0,0.0,725.0,725.0,0.0
11861295890,8264714837,25,0,0.0,0.0,0.0,0.0,0.0,0.0
30237697,7806252248,5,5,63.82142857142858,75.0,0.0,808.0,808.0,0.0
cluster_301572399_301572961_71643538,30247434,25,25,27.0,44.0,8.0,378.0,378.0,0.0
8193762124,30238029,20,0,0.0,0.0,0.0,0.0,0.0,0.0
12884439757,30243367,15,15,35.714285714285715,61.666666666666664,4.714045207910317,500.0,500.0,0.0
9042478734,1311619340,45,0,0.0,0.0,0.0,0.0,0.0,0.0
12953119988,30237613,55,0,0.0,0.0,0.0,0.0,0.0,0.0
4897232219,cluster_301572399_301572961_71643538,15,0,0.0,0.0,0.0,0.0,0.0,0.0
8210106342,8173291489,50,50,47.76190476190476,83.5,10.5,650.0,650.0,0.0
8173291489,1311619368,15,0,0.0,0.0,0.0,0.0,0.0,0.0
442540300,30237635,25,25,30.499999999999996,55.0,5.477225575051661,427.0,427.0,0.0
30237613,6634825854,5,5,25.785714285714285,45.0,0.0,361.0,361.0,0.0
9803583625,6874436644,20,0,0.0,0.0,0.0,0.0,0.0,0.0
30237698,12884439757,15,0,0.0,0.0,0.0,0.0,0.0,0.0
30247167,30237640,25,25,52.23214285714286,61.0,5.830951894845301,240.0,468.0,0.0
12884439746,9803583625,25,25,82.14285714285715,159.0,25.573423705088842,934.0,934.0,0.0
